ID,Protocol,Vision
s113,Linear_120,2
s114,Linear_180,2
s115,Linear_60,2
s116,Linear_60,2
s117,Linear_60,2
s118,Linear_60,2
s119,Linear_60,2
s120,Linear_180,2
s121,Linear_120,2
s122,Linear_60,2
s123,Linear_60,2
s124,Linear_120,2
s125,Linear_120,2
s126,Linear_180,2
s127,Linear_180,2
s128,Linear_120,2
s129,Linear_180,2
s130,Linear_180,2
s131,Linear_180,2
s132,Linear_60,2
s133,Linear_60,2
s134,Linear_120,2
s135,Linear_180,2
s136,Linear_60,2
s137,Linear_180,2
s138,Linear_180,2
s139,Linear_180,2
s140,Linear_60,2
s141,Linear_120,2
s142,Linear_120,2
s143,Linear_180,2
s144,Linear_180,2
s146,Linear_180,2
s147,Linear_120,2
s148,Linear_120,2
s149,Linear_60,2
s150,Linear_60,2
s151,Linear_60,2
s152,Linear_60,2
s153,Linear_180,2
s154,Linear_180,2
s155,Linear_120,2
s156,Linear_60,2
s157,Linear_120,2
s158,Linear_60,2
s159,Linear_180,2
s160,Linear_60,2
s161,Linear_180,2
s162,Linear_60,2
s163,Linear_60,2
s164,Linear_120,2
s165,Linear_60,2
s166,Linear_120,2
s167,Linear_180,2
s168,Linear_60,2
s170,Linear_60,2
s171,Linear_120,2
s173,Linear_120,2
s174,Linear_60,2
s175,Linear_180,2
s176,Linear_120,2
s177,Linear_120,2
s178,Linear_60,2
s179,Linear_180,2
s180,Linear_180,2
s181,Linear_120,2
s182,Linear_180,2
s183,Linear_120,2
s184,Linear_180,2
s185,Linear_60,2
s186,Linear_60,2
s187,Linear_120,2
s188,Linear_120,2
s189,Linear_120,2
s190,Linear_180,2
s191,Linear_60,2
s192,Linear_60,2
s193,Linear_120,2
s194,Linear_60,2
s195,Linear_180,2
s196,Linear_60,2
s197,Linear_120,2
s198,Linear_120,2
s199,Linear_60,2
s200,Linear_180,2
s201,Linear_120,2
s202,Linear_120,2
s203,Linear_180,2
s204,Linear_180,2
s205,Linear_180,2
s206,Linear_120,2
s207,Linear_120,2
s208,Linear_120,2
s210,Linear_180,2
s211,Linear_120,2
s213,Linear_120,2
s214,Linear_180,2
s215,Linear_60,2
s216,Linear_120,2
s217,Linear_120,2
s218,Linear_120,2
s219,Linear_60,2
s220,Linear_180,2
s221,Linear_180,2
s222,Linear_120,2
s223,Linear_120,2
s224,Linear_120,2
s225,Linear_120,2
s226,Linear_60,2
s227,Linear_60,2
s228,Linear_60,2
s229,Linear_180,2
s230,Linear_60,2
s231,Linear_60,2
s232,Linear_180,2
s233,Linear_60,2
s234,Linear_180,2
s235,Linear_180,2
s236,Linear_120,2
s237,Linear_180,2
s238,Linear_180,2
s239,Linear_120,2
s240,Linear_60,2
s241,Linear_180,2
s242,Linear_180,2
s243,Linear_180,2
s244,Linear_60,2
s245,Linear_120,2
s246,Linear_120,2
s247,Linear_180,2
s248,Linear_60,2
s249,Linear_60,2
s250,Linear_120,2
s253,Linear_180,2
s254,Linear_120,2
s255,Linear_180,2
s256,Linear_60,2
s257,Linear_180,2
s258,Linear_180,2
s259,Linear_60,2
s260,Linear_60,2
s261,Linear_120,2
s262,Linear_60,2
s263,Linear_60,2
s264,Linear_60,2
s265,Linear_180,2
s267,Linear_180,2
s268,Linear_60,2
s269,Linear_120,2
s270,Linear_180,2
s271,Linear_120,2
s272,Linear_120,2
s273,Linear_120,2
s274,Linear_60,2
s275,Linear_60,2
s276,Linear_120,2
s277,Linear_120,2
s278,Linear_180,2
s279,Linear_60,2
s316,Linear_120,2
s317,Linear_180,2
s318,Linear_60,2
s280,Linear_60,2
s281,Linear_120,2
s282,Linear_180,2
s283,Linear_180,2
s284,Linear_120,2
s285,Linear_180,2
s286,Linear_180,2
s290,Linear_60,2
s291,Linear_180,2
s292,Linear_180,2
s293,Linear_180,2
s294,Linear_120,2
s295,Linear_180,2
s296,Linear_120,2
s298,Linear_60,2
s299,Linear_120,2
s302,Linear_120,2
s303,Linear_60,2
s319,Linear_60,2
s320,Linear_120,2
s321,Linear_60,2
s308,Linear_180,2
s311,Linear_120,2
s313,Linear_180,2
s314,Linear_60,2
s400,Youtube,2
s401,Youtube,2
s402,VOD,2
s403,VOD,2
s404,VOD,2
s405,Youtube,2
s406,VOD,2
s407,VOD,2
s408,VOD,2
s409,Youtube,2
s410,VOD,2
s411,Youtube,2
s412,VOD,2
s413,Youtube,2
s414,VOD,2
s415,Youtube,2
s416,Youtube,2
s417,Youtube,2
s419,VOD,2
s420,VOD,2
s421,Youtube,2
s422,VOD,2
s423,Youtube,2
s424,VOD,2
s1025,Youtube,2
s1026,VOD,2
s1027,VOD,2
s1028,VOD,2
s1029,Youtube,2
s1030,Youtube,2
s1031,VOD,2
s1032,VOD,2
s1034,VOD,2
s1035,Youtube,2
s1036,Youtube,2
s1037,Youtube,2
s1038,Youtube,2
s1039,VOD,2
s1040,VOD,2
s1041,VOD,2
s1042,VOD,2
s1043,VOD,2
s1045,VOD,2
s1046,Youtube,2
s1047,VOD,2
s1048,Youtube,2
s1049,Youtube,2
s1050,VOD,2
s1051,Youtube,2
s1052,VOD,2
s1053,Youtube,2
